index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399905,2016-12-02,6617.87,6520.97,6520.97,6623.79,8109752500.0,91203230000.0,-0.0156238914207
sz399905,2016-12-01,6593.59,6624.47,6593.07,6624.85,7781850900.0,87662540000.0,0.00590532648605
sz399905,2016-11-30,6605.36,6585.58,6568.8,6615.92,8152681300.0,91354960000.0,-0.00531809648093
sz399905,2016-11-29,6658.35,6620.79,6619.04,6681.88,10144690600.0,1.1270027e+11,-0.00749685195179
sz399905,2016-11-28,6667.27,6670.8,6650.92,6692.14,9574136600.0,1.0672228e+11,0.00270261332788
sz399905,2016-11-25,6620.22,6652.82,6531.37,6652.92,8893463600.0,1.0002917e+11,0.00449490793517
sz399905,2016-11-24,6635.22,6623.05,6607.03,6656.97,9358629900.0,1.0472024e+11,-0.00122451995651
sz399905,2016-11-23,6668.25,6631.17,6617.78,6676.67,9396324000.0,1.0390438e+11,-0.00451566898105
sz399905,2016-11-22,6619.85,6661.25,6617.07,6661.54,9217780900.0,1.019846e+11,0.00751867189792
sz399905,2016-11-21,6597.17,6611.54,6591.98,6635.89,7875184400.0,90652600000.0,0.00139496208157
sz399905,2016-11-18,6632.63,6602.33,6592.84,6643.94,8127855100.0,86902680000.0,-0.00514430111189
sz399905,2016-11-17,6633.31,6636.47,6596.9,6646.31,8453531200.0,87728990000.0,-0.00116191740453
sz399905,2016-11-16,6647.53,6644.19,6630.12,6658.43,9546867600.0,1.0279405e+11,0.000561708074441
sz399905,2016-11-15,6622.88,6640.46,6602.28,6641.04,10511091200.0,1.077846e+11,0.00384731088842
sz399905,2016-11-14,6568.66,6615.01,6566.05,6624.21,12666934300.0,1.2907281e+11,0.00472668893314
sz399905,2016-11-11,6539.36,6583.89,6527.45,6584.41,11037159400.0,1.1768314e+11,0.00717763734574
sz399905,2016-11-10,6501.64,6536.97,6501.64,6538.74,9062523800.0,96157570000.0,0.0129230797837
sz399905,2016-11-09,6504.41,6453.57,6380.57,6507.86,8806010200.0,96517280000.0,-0.00762857555842
sz399905,2016-11-08,6487.65,6503.18,6476.44,6518.19,7244487800.0,78508140000.0,0.00531163334271
sz399905,2016-11-07,6461.0,6468.82,6437.74,6487.06,6881212600.0,76326270000.0,0.00096400978555
sz399905,2016-11-04,6482.6,6462.59,6449.56,6502.74,7063540600.0,81640500000.0,-0.00326046889676
sz399905,2016-11-03,6442.35,6483.73,6436.91,6521.0,7754984500.0,88683290000.0,0.00443058466677
sz399905,2016-11-02,6494.98,6455.13,6450.05,6506.78,7229906800.0,82898300000.0,-0.00811622707611
sz399905,2016-11-01,6457.0,6507.95,6450.02,6508.36,6253990200.0,72251170000.0,0.00863890046976
sz399905,2016-10-31,6441.43,6452.21,6408.27,6460.77,6025368800.0,71768420000.0,-0.000560733476563
sz399905,2016-10-28,6512.04,6455.83,6455.15,6536.83,7069709600.0,79712070000.0,-0.00944093927603
sz399905,2016-10-27,6522.89,6517.36,6488.36,6529.47,6710299700.0,76662910000.0,-0.0019952866521
sz399905,2016-10-26,6561.16,6530.39,6511.66,6561.25,8085924400.0,91780590000.0,-0.00502182574447
sz399905,2016-10-25,6543.47,6563.35,6536.94,6563.52,8392323000.0,94315370000.0,0.0036516720774
sz399905,2016-10-24,6479.55,6539.47,6472.94,6546.79,8607674500.0,93119440000.0,0.00991308483957
sz399905,2016-10-21,6498.99,6475.28,6424.44,6506.61,7319512600.0,83617170000.0,-0.00353326439159
sz399905,2016-10-20,6495.83,6498.24,6474.78,6506.58,6557491200.0,75634630000.0,0.000458796106699
sz399905,2016-10-19,6518.74,6495.26,6476.56,6531.16,7504880700.0,87276980000.0,-0.00215384804464
sz399905,2016-10-18,6409.74,6509.28,6409.74,6509.28,7369850800.0,86044530000.0,0.0149895137335
sz399905,2016-10-17,6478.51,6413.15,6394.49,6487.67,7170479600.0,83743640000.0,-0.00870856899076
sz399905,2016-10-14,6476.26,6469.49,6423.58,6477.85,6586009700.0,75444320000.0,-0.00236552076153
sz399905,2016-10-13,6480.93,6484.83,6468.13,6501.56,6847165100.0,78494100000.0,0.000322394543048
sz399905,2016-10-12,6463.81,6482.74,6452.41,6484.0,6771848700.0,77595770000.0,-0.00056733914856
sz399905,2016-10-11,6451.04,6486.42,6443.75,6486.65,7885088700.0,89907670000.0,0.00600680243622
sz399905,2016-10-10,6364.52,6447.69,6345.33,6447.94,7272403500.0,87775590000.0,0.0189014677438
sz399905,2016-09-30,6292.08,6328.08,6289.46,6338.3,4496512900.0,52590570000.0,0.00465009946355
sz399905,2016-09-29,6288.92,6298.79,6288.92,6323.42,5069155800.0,58112820000.0,0.0027876483774
sz399905,2016-09-28,6300.85,6281.28,6266.75,6300.85,4916326200.0,55557970000.0,-0.000895511467478
sz399905,2016-09-27,6229.82,6286.91,6200.56,6287.33,5640053300.0,63613820000.0,0.00727226701188
sz399905,2016-09-26,6363.93,6241.52,6239.87,6364.21,7210665900.0,80920790000.0,-0.0202587519504
sz399905,2016-09-23,6397.33,6370.58,6369.22,6402.64,6257830700.0,72046480000.0,-0.00235685437459
sz399905,2016-09-22,6381.16,6385.63,6377.17,6410.57,6297160000.0,73959520000.0,0.00660177339901
sz399905,2016-09-21,6342.0,6343.75,6335.39,6363.0,5029034300.0,60152140000.0,0.00027120653797
sz399905,2016-09-20,6344.71,6342.03,6319.76,6346.93,5450561300.0,62741950000.0,-0.000338893284869
sz399905,2016-09-19,6292.81,6344.18,6292.81,6344.45,5497876400.0,63813910000.0,0.0105158199218
sz399905,2016-09-14,6286.62,6278.16,6260.65,6318.27,5831969200.0,69112390000.0,-0.00662496855236
sz399905,2016-09-13,6324.74,6320.03,6284.04,6340.87,6863666000.0,81512870000.0,0.00451233700593
sz399905,2016-09-12,6362.77,6291.64,6283.82,6383.84,9004175600.0,1.0474291e+11,-0.0277250214417
