index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000046,2009-11-27,3274.36,3236.12,3217.02,3339.99,7218118200.0,90061684348.0,-0.0259211355261
sh000046,2009-11-26,3467.67,3322.23,3307.73,3478.85,10537884300.0,1.33072e+11,-0.039640546436
sh000046,2009-11-25,3340.39,3459.36,3326.87,3460.14,9259721700.0,1.14645e+11,0.0322712903443
sh000046,2009-11-24,3520.7,3351.21,3340.64,3529.35,12842225500.0,1.58891e+11,-0.0444102711209
sh000046,2009-11-23,3451.7,3506.96,3451.7,3507.64,8923277500.0,1.12943e+11,0.017780162719
sh000046,2009-11-20,3429.9,3445.69,3406.53,3471.44,8975316700.0,1.05806e+11,0.00211667232819
sh000046,2009-11-19,3403.28,3438.42,3387.75,3439.14,8906851200.0,1.051e+11,0.0116314717604
sh000046,2009-11-18,3390.25,3398.88,3372.59,3410.52,8021501300.0,97523254067.0,0.0030849104408
sh000046,2009-11-17,3399.6,3388.43,3364.11,3400.73,8248898500.0,1.02507e+11,0.001616335512
sh000046,2009-11-16,3313.67,3382.96,3313.67,3383.34,9970034300.0,1.24469e+11,0.0272521008352
sh000046,2009-11-13,3256.34,3293.21,3219.45,3293.69,7346536800.0,88316890679.0,0.00790139673875
sh000046,2009-11-12,3263.25,3267.4,3254.37,3294.91,7174107700.0,84519737438.0,0.00332589605124
sh000046,2009-11-11,3247.7,3256.57,3224.13,3266.81,6400308700.0,77841094720.0,0.00113499631403
sh000046,2009-11-10,3264.4,3252.87,3249.43,3273.39,7347249000.0,91856355834.0,0.00204359505151
sh000046,2009-11-09,3229.6,3246.24,3206.2,3246.71,7269908500.0,90711016564.0,0.00624064855877
sh000046,2009-11-06,3225.93,3226.11,3215.7,3248.78,8630175300.0,1.04325e+11,0.00602001620306
sh000046,2009-11-05,3180.56,3206.8,3164.53,3211.93,7563681700.0,89244011462.0,0.00992445097123
sh000046,2009-11-04,3166.32,3175.29,3144.58,3186.83,7664122200.0,93615611794.0,0.00590435876503
sh000046,2009-11-03,3114.08,3156.65,3111.94,3159.08,8068113200.0,97884023943.0,0.0180722153275
sh000046,2009-11-02,2942.87,3100.62,2928.66,3100.7,6857472200.0,84630332579.0,0.0326509310829
sh000046,2009-10-30,3011.75,3002.58,2990.3,3039.87,5255632000.0,65412954227.0,0.0109261321149
